model,model_slope,model_MAD,model_pval,model_intercept
CHLa vs TP,614.3185840707965,225.4204253663141,5.820766091346754e-11,0.5152920168067212
CHLa vs TN,32.170492358494556,25.686130638715085,9.536743164062493e-6,-5.404831339712906
TP vs TN,0.026431718061673992,0.02805121847906046,4.2723119258880604e-4,0.00869721402168249
