month,median_CHLa,median_TN,median_TP,median_MC
Jun,12.9,0.67,0.02,0.053143184056284654
Jul,14.7,0.615,0.03,0.0494492814075963
Aug,17.55,0.63,0.02,0.1004024851773148
Sep,17.299999999999997,0.605,0.02,0.123664671981754
